Steps,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
19000,-0.03316644,-0.13083646,1.4175901,599.0,-1.0000000894069672,-1.0000000894069672,0.07302833295872678,1.0
20000,-0.04733655,-0.13118502,1.4175903,None,-1.0000000894069672,-1.0000000894069672,0.11037086511755155,1.0
21000,-0.052771244,-0.13135187,1.4175901,None,None,None,None,1.0
22000,-0.03687827,-0.13242106,1.4175904,None,None,None,None,1.0
23000,-0.031468116,-0.13115767,1.4178785,None,None,None,None,1.0
24000,-0.036020506,-0.11781995,1.4179342,None,None,None,None,1.0
25000,-0.026921192,-0.12266135,1.4179341,None,None,None,None,1.0
26000,-0.027456276,-0.1104709,1.4179342,None,None,None,None,1.0
27000,-0.019269073,-0.11565413,1.4179342,None,None,None,None,1.0
28000,-0.026906956,-0.10095672,1.4179342,None,None,None,None,1.0
29000,-0.021191284,-0.108484626,1.4179341,None,None,None,None,1.0
30000,-0.0288267,-0.093973584,1.4179342,None,None,None,None,1.0
31000,-0.026288632,-0.101223305,1.417934,None,None,None,None,1.0
32000,-0.031952955,-0.09372289,1.4179341,None,None,None,None,1.0
33000,-0.028095514,-0.10038707,1.417934,None,None,None,None,1.0
34000,-0.042152416,-0.07961239,1.4175913,None,None,None,None,1.0
35000,-0.051511902,-0.07818057,1.4173716,None,None,None,None,1.0
36000,-0.05090294,-0.07149917,1.4173716,None,None,None,None,1.0
37000,-0.0537618,-0.080533385,1.4173716,None,None,None,None,1.0
38000,-0.052407436,-0.07681458,1.4173716,599.0,-1.0000000894069672,-1.0000000894069672,0.11809783286880701,1.0
39000,-0.05238911,-0.08708138,1.4173717,None,-1.0000000894069672,-1.0000000894069672,0.13846436879761956,1.0
40000,-0.05421357,-0.10448965,1.4173716,None,None,None,None,1.0
41000,-0.05279804,-0.096227586,1.4173716,None,None,None,None,1.0
42000,-0.03898593,-0.10330746,1.4173716,None,None,None,None,1.0
43000,-0.045200355,-0.090820916,1.4173716,None,None,None,None,1.0
44000,-0.04217742,-0.08226709,1.4173716,None,None,None,None,1.0
45000,-0.054719135,-0.07254994,1.4167355,None,None,None,None,1.0
46000,-0.06431404,-0.0627556,1.416238,None,None,None,None,1.0
47000,-0.06274919,-0.06289011,1.4162382,None,None,None,None,1.0
48000,-0.066064954,-0.06486162,1.4162381,None,None,None,None,1.0
49000,-0.0614672,-0.06527027,1.4162381,None,None,None,None,1.0
50000,-0.06575002,-0.06992954,1.4162381,None,None,None,None,1.0
51000,-0.056568455,-0.06953799,1.4162381,None,None,None,None,1.0
52000,-0.06326928,-0.07353504,1.416238,None,None,None,None,1.0
53000,-0.05133043,-0.07195948,1.4162381,None,None,None,None,1.0
54000,-0.055766616,-0.07699793,1.416238,None,None,None,None,1.0
55000,-0.03953414,-0.07286431,1.4162381,None,None,None,None,1.0
56000,-0.029014742,-0.081367634,1.416238,None,None,None,None,1.0
57000,-0.03900148,-0.061109893,1.4161087,599.0,-1.0000000894069672,-1.0000000894069672,0.13089594272120544,1.0
58000,-0.039073266,-0.06398171,1.4150603,599.0,-1.0000000894069672,-1.0000000894069672,0.09551489239898868,1.0
59000,-0.076470256,-0.072715715,1.4150605,None,None,None,None,1.0
60000,-0.07714519,-0.06526974,1.4150603,None,None,None,None,1.0
61000,-0.0745169,-0.05586868,1.4150605,None,None,None,None,1.0
62000,-0.07845562,-0.05074822,1.4150603,None,None,None,None,1.0
63000,-0.07776764,-0.0525487,1.4150605,None,None,None,None,1.0
64000,-0.07914092,-0.05097721,1.4150603,None,None,None,None,1.0
65000,-0.07892595,-0.058433145,1.4150605,None,None,None,None,1.0
66000,-0.07790653,-0.055711474,1.4150603,None,None,None,None,1.0
67000,-0.07740118,-0.061556853,None,None,None,None,None,1.0
68000,-0.0795818,-0.05212327,1.4144597,None,None,None,None,1.0
69000,-0.07068449,-0.056179207,1.4141881,None,None,None,None,1.0
70000,-0.06504206,-0.051560745,1.4141883,None,None,None,None,1.0
71000,-0.04272275,-0.048943907,1.4141881,None,None,None,None,1.0
72000,-0.036520317,-0.044366222,1.4141883,None,None,None,None,1.0
73000,-0.026927296,-0.037281875,1.4141881,None,None,None,None,1.0
74000,-0.024654124,-0.02940733,1.4141883,None,None,None,None,1.0
75000,-0.017033089,-0.020888966,1.4141881,None,None,None,None,1.0
76000,-0.017999424,-0.023410993,1.4141883,None,None,None,None,1.0
77000,-0.02312587,-0.017397396,1.4141884,599.0,-1.0000000894069672,-1.0000000894069672,0.12003716012986843,1.0
78000,-0.08619687,-0.056703217,1.4141881,None,None,None,None,1.0
79000,-0.09332227,-0.05005552,1.4133104,None,None,None,None,1.0
80000,-0.09772993,-0.038477063,None,None,None,None,None,1.0
81000,-0.09879115,-0.03719005,1.4125844,None,None,None,None,1.0
82000,-0.09953747,-0.04336171,1.4125844,None,None,None,None,1.0
83000,-0.09964568,-0.040855806,1.4125844,None,None,None,None,1.0
84000,-0.09590942,-0.046429187,1.4125844,None,None,None,None,1.0
85000,-0.094179735,-0.043152187,1.4125844,None,None,None,None,1.0
